variable,cumul_pct
inc_lt_10k,0.03758683322455464
inc_btw_10k_15k,0.0648953447778638
inc_btw_15k_20k,0.09435666256849262
inc_btw_20k_25k,0.12358777428674064
inc_btw_25k_30k,0.15962640843110767
inc_btw_30k_35k,0.1951186193707026
inc_btw_35k_40k,0.2324575383634625
inc_btw_45k_50k,0.2698799386791737
inc_btw_50k_60k,0.3485901775369468
inc_btw_60k_75k,0.461297552732369
inc_btw_75k_100k,0.6130286518019317
inc_btw_100k_125k,0.7286679922488857
inc_btw_125k_150k,0.8051545922316834
inc_btw_150k_200k,0.8855015709667137
inc_gt_200k,0.9602654200122439
